7.70	0.8997	3.5411	-0.7700	0.0000	0.0000	-11.5564
7.80	1.0731	3.7689	-0.7800	0.0000	0.0000	-11.7065
7.90	1.2786	3.9682	-0.7900	0.0000	0.0000	-11.8566
8.00	1.5117	4.1345	-0.8000	0.0000	0.0000	-12.0067
8.10	1.7670	4.2641	-0.8100	0.0000	0.0000	-12.1567
8.20	2.0388	4.3540	-0.8200	0.0000	0.0000	-12.3068
8.30	2.3210	4.4023	-0.8300	0.0000	0.0000	-12.4569
8.40	2.6072	4.4077	-0.8400	0.0000	0.0000	-12.6070
8.50	2.8911	4.3703	-0.8500	0.0000	0.0000	-12.7571
8.60	3.1662	4.2909	-0.8600	0.0000	0.0000	-12.9072
8.70	3.4263	4.1711	-0.8700	0.0000	0.0000	-13.0572
8.80	3.6656	4.0138	-0.8800	0.0000	0.0000	-13.2073
8.90	3.8787	3.8225	-0.8900	0.0000	0.0000	-13.3574
9.00	4.0608	3.6013	-0.9000	0.0000	0.0000	-13.5075
9.10	4.2078	3.3554	-0.9100	0.0000	0.0000	-13.6576
9.20	4.3163	3.0903	-0.9200	0.0000	0.0000	-13.8077
9.30	4.3840	2.8118	-0.9300	0.0000	0.0000	-13.9577
9.40	4.4092	2.5263	-0.9400	0.0000	0.0000	-14.1078
9.50	4.3915	2.2402	-0.9500	0.0000	0.0000	-14.2579
9.60	4.3311	1.9599	-0.9600	0.0000	0.0000	-14.4080
9.70	4.2294	1.6917	-0.9700	0.0000	0.0000	-14.5581
9.80	4.0888	1.4417	-0.9800	0.0000	0.0000	-14.7082
9.90	3.9122	1.2156	-0.9900	0.0000	0.0000	-14.8582
10.00	3.7038	1.0183	-1.0000	0.0000	0.0000	-15.0083
10.10	3.4682	0.8543	-1.0100	0.0000	0.0000	-15.1584
10.20	3.2106	0.7275	-1.0200	0.0000	0.0000	-15.3085
10.30	2.9368	0.6406	-1.0300	0.0000	0.0000	-15.4586
10.40	2.6530	0.5956	-1.0400	0.0000	0.0000	-15.6087
10.50	2.3656	0.5935	-1.0500	0.0000	0.0000	-15.7587
10.60	2.0811	0.6345	-1.0600	0.0000	0.0000	-15.9088
10.70	1.8057	0.7177	-1.0700	0.0000	0.0000	-16.0589
10.80	1.5459	0.8411	-1.0800	0.0000	0.0000	-16.2090
10.90	1.3073	1.0021	-1.0900	0.0000	0.0000	-16.3591
11.00	1.0954	1.1971	-1.1000	0.0000	0.0000	-16.5092
11.10	0.9150	1.4216	-1.1100	0.0000	0.0000	-16.6592
11.20	0.7702	1.6707	-1.1200	0.0000	0.0000	-16.8093
11.30	0.6642	1.9388	-1.1300	0.0000	0.0000	-16.9594
11.40	0.5994	2.2198	-1.1400	0.0000	0.0000	-17.1095
11.50	0.5775	2.5075	-1.1500	0.0000	0.0000	-17.2596
11.60	0.5988	2.7954	-1.1600	0.0000	0.0000	-17.4097
11.70	0.6630	3.0770	-1.1700	0.0000	0.0000	-17.5597
11.80	0.7687	3.3459	-1.1800	0.0000	0.0000	-17.7098
11.90	0.9135	3.5962	-1.1900	0.0000	0.0000	-17.8599
12.00	1.0942	3.8220	-1.2000	0.0000	0.0000	-18.0100
12.10	1.3067	4.0184	-1.2100	0.0000	0.0000	-18.1601
12.20	1.5464	4.1809	-1.2200	0.0000	0.0000	-18.3102
12.30	1.8078	4.3058	-1.2300	0.0000	0.0000	-18.4602
12.40	2.0851	4.3902	-1.2400	0.0000	0.0000	-18.6103
12.50	2.3721	4.4322	-1.2500	0.0000	0.0000	-18.7604
12.60	2.6623	4.4307	-1.2600	0.0000	0.0000	-18.9105
12.70	2.9492	4.3859	-1.2700	0.0000	0.0000	-19.0606
12.80	3.2264	4.2986	-1.2800	0.0000	0.0000	-19.2107
12.90	3.4875	4.1707	-1.2900	0.0000	0.0000	-19.3607
13.00	3.7267	4.0050	-1.3000	0.0000	0.0000	-19.5108
13.10	3.9386	3.8054	-1.3100	0.0000	0.0000	-19.6609
13.20	4.1183	3.5761	-1.3200	0.0000	0.0000	-19.8110
13.30	4.2619	3.3223	-1.3300	0.0000	0.0000	-19.9611
13.40	4.3659	3.0498	-1.3400	0.0000	0.0000	-20.1112
13.50	4.4280	2.7645	-1.3500	0.0000	0.0000	-20.2612
13.60	4.4467	2.4730	-1.3600	0.0000	0.0000	-20.4113
13.70	4.4216	2.1817	-1.3700	0.0000	0.0000	-20.5614
13.80	4.3532	1.8972	-1.3800	0.0000	0.0000	-20.7115
13.90	4.2429	1.6260	-1.3900	0.0000	0.0000	-20.8616
14.00	4.0931	1.3741	-1.4000	0.0000	0.0000	-21.0117
14.10	3.9072	1.1473	-1.4100	0.0000	0.0000	-21.1617
